loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Milho Salada Pet 900ml,15.98,https://www.deliveryfort.com.br/oleo-de-milho-salada-pet-900ml/p,2026-01-24 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Girassol Salada Pet 900ml,14.49,https://www.deliveryfort.com.br/oleo-de-girassol-salada-pet-900ml/p,2026-01-24 23:19:31
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Soja Soya Pet 900ml,7.29,https://www.deliveryfort.com.br/oleo-de-soja-soya-pet-900ml/p,2026-01-25 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Girassol Liza 900ml,13.98,https://www.deliveryfort.com.br/oleo-de-girassol-liza-900ml/p,2026-01-25 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Canola Liza 900ml,17.69,https://www.deliveryfort.com.br/oleo-de-canola-liza-900ml/p,2026-01-25 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Milho Liza 900ml,14.98,https://www.deliveryfort.com.br/oleo-de-milho-liza-900ml/p,2026-01-25 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Canola Salada Pet 900ml,11.99,https://www.deliveryfort.com.br/oleo-de-canola-salada-pet-900ml/p,2026-01-25 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Milho Salada Pet 900ml,15.98,https://www.deliveryfort.com.br/oleo-de-milho-salada-pet-900ml/p,2026-01-25 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Girassol Salada Pet 900ml,14.49,https://www.deliveryfort.com.br/oleo-de-girassol-salada-pet-900ml/p,2026-01-25 23:19:39
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Soja Soya Pet 900ml,7.29,https://www.deliveryfort.com.br/oleo-de-soja-soya-pet-900ml/p,2026-01-26 23:20:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Girassol Liza 900ml,13.98,https://www.deliveryfort.com.br/oleo-de-girassol-liza-900ml/p,2026-01-26 23:20:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Canola Liza 900ml,17.69,https://www.deliveryfort.com.br/oleo-de-canola-liza-900ml/p,2026-01-26 23:20:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Milho Liza 900ml,14.98,https://www.deliveryfort.com.br/oleo-de-milho-liza-900ml/p,2026-01-26 23:20:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Canola Salada Pet 900ml,11.99,https://www.deliveryfort.com.br/oleo-de-canola-salada-pet-900ml/p,2026-01-26 23:20:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Milho Salada Pet 900ml,15.98,https://www.deliveryfort.com.br/oleo-de-milho-salada-pet-900ml/p,2026-01-26 23:20:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Girassol Salada Pet 900ml,14.49,https://www.deliveryfort.com.br/oleo-de-girassol-salada-pet-900ml/p,2026-01-26 23:20:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Soja Soya Pet 900ml,6.98,https://www.deliveryfort.com.br/oleo-de-soja-soya-pet-900ml/p,2026-01-27 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Girassol Liza 900ml,13.98,https://www.deliveryfort.com.br/oleo-de-girassol-liza-900ml/p,2026-01-27 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Canola Liza 900ml,17.69,https://www.deliveryfort.com.br/oleo-de-canola-liza-900ml/p,2026-01-27 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Milho Liza 900ml,14.98,https://www.deliveryfort.com.br/oleo-de-milho-liza-900ml/p,2026-01-27 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Canola Salada Pet 900ml,11.99,https://www.deliveryfort.com.br/oleo-de-canola-salada-pet-900ml/p,2026-01-27 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Milho Salada Pet 900ml,15.98,https://www.deliveryfort.com.br/oleo-de-milho-salada-pet-900ml/p,2026-01-27 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Girassol Salada Pet 900ml,14.49,https://www.deliveryfort.com.br/oleo-de-girassol-salada-pet-900ml/p,2026-01-27 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Soja Soya Pet 900ml,6.98,https://www.deliveryfort.com.br/oleo-de-soja-soya-pet-900ml/p,2026-01-28 23:20:48
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Girassol Liza 900ml,13.98,https://www.deliveryfort.com.br/oleo-de-girassol-liza-900ml/p,2026-01-28 23:20:48
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Canola Liza 900ml,17.69,https://www.deliveryfort.com.br/oleo-de-canola-liza-900ml/p,2026-01-28 23:20:48
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Milho Liza 900ml,14.98,https://www.deliveryfort.com.br/oleo-de-milho-liza-900ml/p,2026-01-28 23:20:48
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Canola Salada Pet 900ml,11.99,https://www.deliveryfort.com.br/oleo-de-canola-salada-pet-900ml/p,2026-01-28 23:20:48
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Milho Salada Pet 900ml,15.98,https://www.deliveryfort.com.br/oleo-de-milho-salada-pet-900ml/p,2026-01-28 23:20:48
LOJA 810 - FLORIANÓPOLIS,88063-038,Oleo,Óleo de Girassol Salada Pet 900ml,14.49,https://www.deliveryfort.com.br/oleo-de-girassol-salada-pet-900ml/p,2026-01-28 23:20:48
